invoice_id,client_id,project_id,invoice_type,invoice_title,invoice_date,subtotal,cgst,sgst,igst,tax_amount,total_amount,payment_status,gst_payment_status,payment_date,pdf_url,tax_pdf_id,proforma_pdf_id,created_at,service1_name_csv,service1_description,service1_amount,service2_name_csv,service2_description,service2_amount,service3_name_csv,service3_description,service3_amount,service4_name_csv,service4_description,service4_amount,service5_name_csv,service5_description,service5_amount,service6_name_csv,service6_description,service6_amount,service7_name_csv,service7_description,service7_amount,service8_name_csv,service8_description,service8_amount,service9_name_csv,service9_description,service9_amount,service10_name_csv,service10_description,service10_amount
WT2505INV005,CL137,,WT,Kubera Influencer Marketing,16-05-2025,150000,13500,13500,,27000,177000,,,,,,,,Kubera Influencer Marketing,Poyiraa song,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV002,CL038,,WTX,ZEE - Social Media Marketing services,30-04-2025,650000,58500,58500,,117000,767000,,,,,,,,Social Media Marketing Services,For the month of April 2025,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV004,CL147,,WTX,SAS Crown - Marketing,30-04-2025,"2,50,000",22500,22500,,45000,295000,,,,,,,,Marketing,For the month of May 2025,"2,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV004,CL231,,WTX,Minfy Tehnologies - Marketing,30-04-2025,150000,13500,13500,,27000,177000,,,,,,,,Marketing,For the month of May 2025,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2504INV007,CL039,,WTX,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-04-2025,100000,9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV001,CL147,,WTX,SAS Crown - Marketing,30-05-2025,250000,22500,22500,,45000,295000,,,,,,,,Marketing,For the month of June 2025,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV002,CL063,,WTX,Real Insights - Social Media,30-05-2025,154500,13905,13905,,27810,182310,,,,,,,,Social Media Marketing,Jun-25,150000,Performance Marketing,Service Fee,4500,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV003,CL231,,WTX,Minfy Tehnologies - Marketing,30-05-2025,150000,13500,13500,,27000,177000,,,,,,,,Marketing,For the month of June 2025,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2505INV004,CL039,,WTX,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-05-2025,100000,9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2505INV003,CL023,,WT,YouTube Channels Suspension,11-05-2025,60000,,0,10800,10800,70800,,,,,,,,YouTube Channels Suspension,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV004,CL172,,WT,Mad Square Marketing,12-06-2025,650000,58500,58500,,117000,767000,,,,,,,,Marketing,"Social Media creatives, Statics, Video
Edits, Post Copies, PR and Web Articles,
Concept Videos and interviews execution
and coordination",500000,Lyrical Videos,Swathi Reddy and Vaccharoi,150000,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV010,CL017,,WT,Thalapathy69 - Influencer Marketing,20-06-2025,1110000,99900,99900,,199800,1309800,,,,,,,,Influencers marketing,Telugu Twitter Influencers (Full Movie),600000,Influencers marketing,"Telugu Website coverage (GA, M9, T360,
Gulte, 123Telugu, Pinkvilla & Pinkvilla
South, Idlebarain) - Teaser - 1 Asset",280000,Influencers marketing,North Twitter Influencers - Teaser - 1,230000,,,,,,,,,,,,,,,,,,,,,
WT2506INV011,CL068,,WT,HERO - Brand Film Coordination,25-06-2025,325000,29250,29250,0,58500,383500,,,,,,,,HERO Coordination,,325000,,,,,Asset,,,,,,,,,,,,,,,,,,,,,,
WT2506INV012,CL156,,WT,HHVM - Marketing Advance,28-06-2025,300000,,0,54000,54000,354000,,,,,,,,Marketing,"Marketing - 7L (till July 24th 2025) - If
postponed, 1L extra for each month.
Advance 3L",300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV013,CL164,,WT,ENE2 Motion Poster and Announcement event,30-06-2025,125000,11250,11250,,22500,147500,,,,,,,,Motion Poster,,60000,Cameras Shoot,,35000,Twitter fandom influcencers,,30000,,,,,,,,,,,,,,,,,,,,,
WT2506INV001,CL137,,WT,Kubera Lyrical Videos,02-06-2025,320000,28800,28800,,57600,377600,,,,,,,,Lyricals,"Poyiraa Maama - Original + 4 additional
languages",160000,Lyricals,"Kadha Kadha - Original + 4 additional
languages",160000,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV003,CL121,,WT,3 Roses Creatives - Advances,02-06-2025,150000,13500,13500,,27000,177000,,,,,,,,Creatives,Advance,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV006,CL137,,WT,Kubera Marketing Balance,17-06-2025,450000,40500,40500,,81000,531000,,,,,,,,Marketing team,50% Balance for Kubera marketing,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV007,CL137,,WT,Kubera Lyrical Videos,17-06-2025,260000,23400,23400,,46800,306800,,,,,,,,Lyricals,"Pippi Pippi - Original + 4 additional
languages",0,Lyricals,"Na Koduka - Original + 4 additional
languages",160000,Happy Days Trailer and Creatives,,100000,,,,,,,,,,,,,,,,,,,,,
WT2506INV014,CL121,,WT,3 Roses Creatives - Balances,30-06-2025,200000,18000,18000,,36000,236000,,,,,,,,Creatives,Balance,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV001,CL037,,WT,Star Maa - Social Media and Creatives,23-06-2025,1500000,135000,135000,,270000,1770000,,,,,,,,Social Media and Creatives,For the months of April and May 2025,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV002,CL128,,WT,ART - Branding Balance,30-06-2025,275000,24750,24750,,49500,324500,,,,,,,,Branding,Balance for branding works,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV003,CL037,,WT,Star Maa - Social Media and Creatives,30-06-2025,"7,50,000",67500,67500,,135000,885000,,,,,,,,Social Media and Creatives,For the month of June 2025,"7,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV004,CL127,,WT,Masala Darbar - Name and Logo,30-06-2025,"80,000",7200,7200,,14400,94400,,,,,,,,Masala Darbar,Naming and Logo Design,"80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV005,CL147,,WT,SAS Crown - Marketing,30-06-2025,"2,50,000",22500,22500,,45000,295000,,,,,,,,Marketing,For the month of July 2025,"2,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV006,CL063,,WT,Real Insights - Social Media,30-06-2025,"1,51,800",13662,13662,,27324,179124,,,,,,,,Social Media Marketing,Jul-25,"1,50,000",Performance Marketing,Service Fee,1800,,,,,,,,,,,,,,,,,,,,,,,,
WTX2506INV007,CL039,,WT,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-06-2025,"1,00,000",9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust - June 2025,"1,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2506INV009,CL004,,WT,Beauty - Creatives (Advance invoice),20-06-2025,"2,50,000",,0,45000,45000,295000,,,,,,,,Beauty Creatives,"Advance - 50% (10 Main Posters and
adapts and Lyrical Videos)","2,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV002,CL149,,WT,Mass Jathara Lyricals,09-07-2025,"87,000",7830,7830,,15660,102660,,,,,,,,Lyrical Videos,Mass Jathara - Tu Mera Lover - Lyrical,"75,000",Shoot,Opening Ceremony Shoot,12000,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV005,CL101,,WT,Andhra King Taluka Lyrical Video,16-07-2025,"1,50,000",13500,13500,,27000,177000,,,,,,,,Lyrical Video,First song,"1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV006,CL156,,WT,HHVM - Marketing Balance,16-07-2025,"4,00,000",36000,36000,,72000,472000,,,,,,,,Marketing,"Marketing - 7L (till July 24th 2025) - 3L
advance Paid and 4L balance.","4,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV012,CL130,,WT,AOT - Meme Campaigns,31-07-2025,"1,25,000",11250,11250,,22500,147500,,,,,,,,Meme Marketing,Top 32 Pages,"65,000",Music Pages,Top 100 Pages,60000,,,,,,,,,,,,,,,,,,,,,,,,
WTX2507INV001,CL037,,WTX,Star Maa - Social Media and Creatives,30-07-2025,"7,50,000",67500,67500,,135000,885000,,,,,,,,Social Media and Creatives,For the month of July 2025,"7,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2507INV002,CL147,,WTX,SAS Crown - Marketing,30-07-2025,"2,50,000",22500,22500,,45000,295000,,,,,,,,Marketing,For the month of August 2025,"2,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2507INV003,CL063,,WTX,Real Insights - Social Media,30-07-2025,"1,51,000",13590,13590,,27180,178180,,,,,,,,Social Media Marketing,Aug-25,"1,50,000",Performance Marketing,Service Fee,1000,,,,,,,,,,,,,,,,,,,,,,,,
WTX2507INV004,CL039,,WTX,NTR TRUST and Bhuvaneswari garu - Social Media Marketing,30-07-2025,"1,00,000",9000,9000,,18000,118000,,,,,,,,Social Media,NTR Trust - July 2025,"1,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WTX2507INV005,CL128,,WTX,ART - Branding Balance,30-07-2025,"96,000",8640,8640,,17280,113280,,,,,,,,Marketing,Jul-25,"85,000",Paid Marketing,Jul-25,11000,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV009,CL095,,WT,Mirai - Lyrical Video - Vibe undi,29-07-2025,"1,50,000",13500,13500,,27000,177000,,,,,,,,Lyrical Video - Vibe undi song,"1 original language + 4 additional
languages","1,50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV010,CL095,,WT,Thelusu Kadha - Lyrical Video - Mallika Gandha,29-07-2025,"1,00,000",9000,9000,,18000,118000,,,,,,,,Lyrical Video - Mallika Gandha song,,"1,00,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2507INV011,CL125,,WT,Parada Lyrical Songs,31-07-2025,"75,000",6750,6750,,13500,88500,,,,,,,,Lyrical Video,Third song,"75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2508INV002,CL070,,WT,Durga Arts - Workspace Expenses,11-08-2025,"2,96,136",26652.24,26652.24,,53304.48,349440.48,,,,,,,,Workspace,April 1st 2025 to July 31st 2025,"2,96,136",,,,,,,,,,,,,,,,,,,,,,,,,,,
WT2508INV003,CL129,,WT,Arka Media Works - Workspace Expenses,11-08-2025,"65,650",5908.5,5908.5,,11817,77467,,,,,,,,Workspace,March 1st 2025 to July 31st 2025,"65,650",,,,,,,,,,,,,,,,,,,,,,,,,,,
